THEORY,Start,08:00,08:55,09:50,10:45,11:40,12:35,Lunch,02:00,02:55,03:50,04:45,05:40,06:35
,End,08:50,09:45,10:40,11:35,12:30,01:25,Lunch,02:50,03:45,04:40,05:35,06:30,07:25
LAB,Start,08:00,08:50,09:50,10:40,11:40,12:30,Lunch,02:00,02:50,03:50,04:40,05:40,06:30
,End,08:50,09:40,10:40,11:30,12:30,01:20,Lunch,02:50,03:40,04:40,05:30,06:30,07:20
,THEORY,A1,"F1-BMAT101L-TH-
DB-306-ALL",D1,"TB1-BCHY101L-
TH-DB-306-ALL",TG1,S11,Lunch,A2,F2,D2,TB2,TG2,S3
MON,LAB,L1,L2,L3,L4,L5,L6,Lunch,L31,L32,"L33-BMAT101P-
LO-AB1-903-ALL","L34-BMAT101P-
LO-AB1-903-ALL",L35,L36
TUE,THEORY,"B1-BCHY101L-TH-
DB-306-ALL","G1-BEEE101L-TH-
DB-306-ALL",E1,"TC1-BCSE101E-
ETH-DB-306-ALL",TAA1,-,Lunch,B2,G2,E2,TC2,TAA2,S1
,LAB,L7,L8,"L9-BSTS101P-LO-
DB-306-ALL",L10,L11,L12,Lunch,"L37-BCSE101E-
ELA-AB1-607-ALL","L38-BCSE101E-
ELA-AB1-607-ALL",L39,L40,L41,L42
,THEORY,C1,A1,"F1-BMAT101L-TH-
DB-306-ALL",TD1,TBB1,-,Lunch,C2,A2,F2,TD2,TBB2,54
WED,LAB,L13,L14,L15,L16,L17,L18,Lunch,"L43-BCHY101Pp.
LO-AB1-102-ALL","L44-BCHY101P-
LO-AB1-102-ALL",L45,L46,L47,L48
,THEORY,D1,"B1-BCHY101L-TH-
DB-306-ALL","G1-BEEE101L-TH-
DB-306-ALL",TE1,TCC1,-,Lunch,D2,B2,G2,TE2,TCC2,S2
THU,LAB,L19,L20,L21,"L22-BSTS101P-LO-
DB-306-ALL",L23,L24,Lunch,L49,L50,"L51-BEEE101P-LO-
AB1-306-ALL","L52-BEEE101P-LO-
AB1-306-ALL",L53,L54
FRI,THEORY,E1,C1,TA1,"TF1-BMAT101L-
TH-DB-306-ALL",TDD1,S15,Lunch,E2,C2,TA2,TF2,TDD2,-
,LAB,"L25-BSTS101P-
LO-DB-306-ALL",L26,L27,L28,L29,L30,Lunch,"L55-BCSE101E-
ELA-AB1-607-ALL","L56-BCSE101E-
ELA-AB1-607-ALL",L57,L58,L59,L60
SAT,THEORY,X11,X12,Y11,Y12,S8,-,Lunch,X21,Z21,Y21,W21,W22,-
,LAB,L71,L72,L73,L74,L75,L76,Lunch,L77,L78,L79,L80,L81,L82
SUN,THEORY,Y11,Y12,X11,X12,S10,-,Lunch,Y21,21,X21,W21,W22,-
,LAB,L83,L84,L85,L86,L87,L88,Lunch,L89,L90,L91,L92,L93,L94